region,locale,administrative_area,site,plot_type,UTM_northing,UTM_easting,plot_ID,area,polygon_ID,polygon_sub_unit,chamber_type,date,flux_CO2,flux_CO2_se,flux_CO2_Pvalue,flux_CO2_Rsquared,flux_CH4,flux_CH4_se,CH4_Pvalue,CH4_Rsquared,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210E,Z,210,Ed,Opq,2013-08-12,1.675,0.0099,2.00E-16,0.998,0.757,0.011,2.00E-16,0.9884,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210E,Z,210,Ed,Opq,2013-09-07,0.413,0.00331,2.00E-16,0.9969,1.229,0.0165,2.00E-16,0.9913,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210E,Z,210,Ed,Opq,2013-10-04,0.206,0.00077,2.00E-16,0.9989,1.202,0.0095,2.00E-16,0.9952,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210T,Z,210,Tr,Opq,2013-07-11,1.203,0.00874,2.00E-16,0.9971,7.677,0.0489,2.00E-16,0.9977,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210T,Z,210,Tr,Opq,2013-08-12,1.133,0.0033,2.00E-16,0.9995,60.69,0.2579,2.00E-16,0.9989,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210T,Z,210,Tr,Opq,2013-09-07,0.471,0.00292,2.00E-16,0.9981,21.11,0.128,2.00E-16,0.9982,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910143,585491,Z210T,Z,210,Tr,Opq,2013-10-04,0.049,0.00056,2.00E-16,0.99,4.868,0.038,2.00E-16,0.9953,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910332,585385,Z415C,Z,415,Ce,Opq,2013-07-11,0.929,0.00942,2.00E-16,0.9956,152.373,1.892,2.00E-16,0.9934,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910332,585385,Z415C,Z,415,Ce,Opq,2013-08-16,0.659,0.00184,2.00E-16,0.9994,123.796,0.683,2.00E-16,0.9976,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910332,585385,Z415C,Z,415,Ce,Opq,2013-09-07,1.182,0.01275,2.00E-16,0.9951,88.379,1.042,2.00E-16,0.9942,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910332,585385,Z415C,Z,415,Ce,Opq,2013-10-04,0.334,0.00408,2.00E-16,0.9912,69.38,0.5206,2.00E-16,0.9967,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415E,Z,415,Ed,Opq,2013-07-11,1.192,0.01274,2.00E-16,0.996,12.355,0.104,2.00E-16,0.9975,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415E,Z,415,Ed,Opq,2013-08-16,1.14,0.00852,2.00E-16,0.9971,17.956,0.178,2.00E-16,0.9948,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415E,Z,415,Ed,Opq,2013-09-07,0.649,0.00348,2.00E-16,0.9989,8.712,0.0326,2.00E-16,0.9995,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415E,Z,415,Ed,Opq,2013-10-04,0.221,0.0017,2.00E-16,0.9958,6.347,0.0221,2.00E-16,0.9991,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415T,Z,415,Tr,Opq,2013-07-11,1.223,0.00386,2.00E-16,0.9985,183.9,0.555,2.00E-16,0.9987,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415T,Z,415,Tr,Opq,2013-08-16,0.678,0.00567,2.00E-16,0.9962,135.3,2.027,2.00E-16,0.988,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415T,Z,415,Tr,Opq,2013-09-07,0.552,0.00173,2.00E-16,0.9995,83.85,0.443,2.00E-16,0.9986,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910327,585384,Z415T,Z,415,Tr,Opq,2013-10-04,0.403,0.00193,2.00E-16,0.9979,133.4,0.3766,2.00E-16,0.9993,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585571,Z53C,Z,53,Ce,Opq,2013-07-11,0.347,0.00578,2.00E-16,0.9861,0.196,0.0033,2.79E-07,0.4013,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585571,Z53C,Z,53,Ce,Opq,2013-08-12,2.076,0.0193,2.00E-16,0.9964,0.132,0.0118,4.17E-14,0.7493,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585571,Z53C,Z,53,Ce,Opq,2013-09-07,0.68,0.1221,2.00E-16,0.9933,-0.217,0.0167,2.00E-16,0.888,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585571,Z53C,Z,53,Ce,Opq,2013-10-04,0.363,0.00245,2.00E-16,0.9972,0.387,0.0128,2.00E-16,0.9363,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53E,Z,53,Ed,Opq,2013-07-11,1.328,0.0066,2.00E-16,0.9984,0.087,0.0071,2.00E-16,0.6951,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53E,Z,53,Ed,Opq,2013-08-12,3.572,0.00806,2.00E-16,0.9997,-0.324,0.0417,2.26E-10,0.5196,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53E,Z,53,Ed,Opq,2013-09-07,0.713,0.00726,2.00E-16,0.9957,-0.141,0.0107,2.51E-16,0.8039,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53E,Z,53,Ed,Opq,2013-10-04,0.221,0.0011,2.00E-16,0.9981,0.012,0.0026,1.69E-05,0.2023,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53T,Z,53,Tr,Opq,2013-07-11,1.647,0.00698,2.00E-16,0.9991,-0.214,0.0559,3.73E-04,0.214,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53T,Z,53,Tr,Opq,2013-08-12,0.976,0.00621,2.00E-16,0.9984,13.78,0.0959,2.00E-16,0.9981,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53T,Z,53,Tr,Opq,2013-09-07,0.489,0.00327,2.00E-16,0.9983,9.094,0.0348,2.00E-16,0.9994,,,,,,
North Slope,Barrow,BEO,Site 0 transect,Biogeochemistry,7910007,585572,Z53T,Z,53,Tr,Opq,2013-10-04,0.849,0.00985,2.00E-16,0.9937,3.896,0.0115,2.00E-16,0.9996,,,,,,
